Year,Month,Day,MaxTemp,MinTemp,MeanTemp,Humidity,Radiation,WS,ET,,
2000,1,1,31.6,24.2,26.8,79.9,13.57,1.7,3.203991434,,
2000,1,2,31.3,23.8,26.6,82.8,11.19,1.5,2.682084356,,
2000,1,3,32.3,25,27.2,78.7,13.38,1.3,3.157077568,,
2000,1,4,31.4,24.8,27.2,79.1,10.18,1.3,2.603031858,,
2000,1,5,33,23.3,26.1,87.9,12.3,1,2.69048722,,
2000,1,6,32.1,22.9,26.7,82.7,15.12,1.3,3.278339764,,
2000,1,7,34,23.6,25.9,88.7,14.05,0.8,2.985508214,,
2000,1,8,33.6,23,27.4,81.4,16.67,0.8,3.539833635,,
2000,1,9,33.5,22.5,27.7,73.7,21.16,1.8,4.622330465,,
2000,1,10,32.8,21.7,27.3,75.2,17.55,1.1,3.76016108,,
2000,1,11,32.1,22.9,27.1,77.2,13.66,1.1,3.114748213,,
2000,1,12,33.5,23,26.8,84.7,13.62,0.7,2.948251963,,
2000,1,13,34.5,22.5,27.6,80,20.28,1.1,4.257159553,,
2000,1,14,34.4,22.4,27.6,75.5,21.82,1.3,4.605536461,,
2000,1,15,34.3,21.7,27.7,71.8,21.61,1.6,4.699381202,,
2000,1,16,33.4,22.4,27.2,75.4,18.78,1.5,4.114256334,,
2000,1,17,33.4,22.6,27.1,79.6,14.39,0.9,3.178740069,,
2000,1,18,30.6,22.6,26.4,82.5,8.23,1,2.07647942,,
2000,1,19,34,22.2,27.7,74.7,17.6,1.4,3.953507565,,
2000,1,20,33,21.9,27.3,68.6,17.98,1.9,4.264422603,,
2000,1,21,33.2,22.5,27.3,65.7,17.93,2.1,4.47318725,,
2000,1,22,32.2,21.5,26.3,72.1,16.23,1.8,3.804233327,,
2000,1,23,33.6,21,26.8,73.8,19.59,1.6,4.261588569,,
2000,1,24,33,23.8,25.9,86.6,12.22,0.9,2.690304623,,
2000,1,25,32,23.2,26.6,81.6,14.61,1.6,3.280084167,,
2000,1,26,33.2,23.6,27.7,68.3,21.31,2.5,5.067623868,,
2000,1,27,33,21,26.6,70.1,19.39,2.1,4.453806084,,
2000,1,28,32.4,22,27.2,67.5,20.14,2.5,4.787009967,,
2000,1,29,32.1,24.1,27.5,64.8,14.29,2.8,4.32473049,,
2000,1,30,31.5,24.6,27.1,68.2,15.41,3.3,4.485613212,,
2000,1,31,31.6,24.5,27.1,68.8,14.81,2.7,4.148630625,,
2000,2,1,32.2,22.9,27,67,15.5,2.7,4.293853538,,
2000,2,2,32.7,23.1,27.3,66,18.75,2.3,4.652108712,,
2000,2,3,32.6,21.1,26.5,72.2,19.45,1.5,4.178118596,,
2000,2,4,31.8,20.2,25.7,77.8,15.6,0.7,3.200292926,,
2000,2,5,32.4,20.5,26,78.9,15.02,1,3.211546973,,
2000,2,6,35,21.7,27.4,71.6,16.69,0.8,3.658601608,,
2000,2,7,34.9,22.4,27.5,73.5,16.19,0.8,3.574033478,,
2000,2,8,34.2,23.3,28,73.9,14.82,0.8,3.346151282,,
2000,2,9,34.2,23,27.7,77.3,14.3,1.1,3.309570138,,
2000,2,10,33.8,23,26.6,83.6,12.36,0.9,2.789734374,,
2000,2,11,34.7,22.6,27.6,76.8,18.2,1.2,3.997872027,,
2000,2,12,34.5,22.1,27.6,76.2,16.97,1.2,3.784578535,,
2000,2,13,34,22.3,28,72.6,15.07,1.1,3.49278237,,
